1.CodigoDeArticulo,Código del Departamento ,Código de Familia,2.CodigoDeCelda,3.StockB,4.StockA,5.Stock,6.ALM,7.stock,8.almacen,9.Familia,10.Subfamilia,11.Descripcion,12:Empresa,13.TipoCelda,14.Clasificacion
090125HP,COTY,SALLY HANSEN,VALL.G.05.25.01,0,00,0,00,1,00,SALLY HANSEN,MUEBLES,SH_SPINNER HIPERCOR,GALAN,,SP
1104,COTY,BOURJOIS,VALL.G.05.20.02,0,00,0,00,17,00,BOURJOIS,ELEMENTOS,BJS TEMPLE 200 FY20,GALAN,,SP
11111,COTY,RIMMEL ,VALL.G.06.11.03,0,00,0,00,11,00,RIMMEL ,ELEMENTOS,Pieza HOTSPOT RIM Mibar 1.2M_KIT ACT Q1 FY21,GALAN,,SP
11111,COTY,RIMMEL ,VALL.G.05.14.01,0,00,0,00,2,00,RIMMEL ,ELEMENTOS,Pieza HOTSPOT RIM Mibar 1.2M_KIT ACT Q1 FY21,GALAN,,SP
120424-POPTOWERS,APPLE,,AL.09,0,00,0,00,72,00,,ELEMENTOS,POP nuevos Torres iTunes,GALAN,,SP
1449,COTY,RIMMEL ,VALL.G.02.21.01,0,00,0,00,1,00,RIMMEL ,ELEMENTOS,RIM_BASE MIBAR 1.2M,GALAN,,SP
150525.1,COTY,BOURJOIS,VALL.G.05.39.01,0,00,0,00,1,00,BOURJOIS,MUEBLES,MUEBLE NEXT GEN 1.2M DEV H2FY25,GALAN,,SP
150525.1,COTY,BOURJOIS,VALL.G.04.42.01,0,00,0,00,1,00,BOURJOIS,MUEBLES,MUEBLE NEXT GEN 1.2M DEV H2FY25,GALAN,,SP
150525.2,COTY,BOURJOIS,VALL.G.04.42.01,0,00,0,00,1,00,BOURJOIS,ELEMENTOS,BASE NEXT GEN 1.2M DEV,GALAN,,SP
160524-MAITE GARCÍA,APPLE,,AL.09,0,00,0,00,1,00,,ELEMENTOS,Toallitas alcohol Maite (avión),GALAN,,SP
1788,COTY,RIMMEL ,VALL.G.04.23.01,0,00,0,00,3,00,RIMMEL ,ELEMENTOS,BASE_MUEBLE_MIBAR 1.2M SPANISH H1 FY23,GALAN,,SP
1788,COTY,RIMMEL ,VALL.G.07.48.02,0,00,0,00,4,00,RIMMEL ,ELEMENTOS,BASE_MUEBLE_MIBAR 1.2M SPANISH H1 FY23,GALAN,,SP
180325KIT1.3,COTY,SALLY HANSEN,VALL.G.03.47.01,0,00,0,00,10,00,SALLY HANSEN,ELEMENTOS,KIT PIEZAS SH SPINNER  1/3,GALAN,,SP
